ID ответа,Дата ответа,Затраченное время,Источник ответа,Источник ответа,Респондент,IP-hash,UA-hash,Логин,Где Вы работаете?,В какой компании Вы работаете?,Какую должность Вы занимаете?,Оцените уровень заинтересованности и вовлеченности сотрудников вашей компании в зеленые и устойчивые практики?,"*Назовите причины, из-за которых Вы начали разрабатывать и внедрять зеленую маркетинговую стратегию в Вашей компании/бренде? Экологичность- популярный тренд",Увеличение динамики продаж,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,"Вариант ""другое""","Вариант ""затрудняюсь ответить""",Ваша зеленая маркетинговая стратегия и ориентация на устойчивое развитие помогли увеличить продажи и маржинальность FMCG продуктов?,Ваша зеленая маркетинговая стратегия и ориентация на устойчивое развитие помогли улучшить имидж и репутацию компании/брендов/продуктов?,На каком уровне реализации зеленой маркетинговой стратегии находится Ваша компания?,"Считаете ли Вы, что зеленую маркетинговую стратегию вашей компании можно назвать успешной?","* По вашему мнению, наиболее существенными и значимыми факторами, влияющими на увеличение прибыли в рамках зеленой маркетинговой стратегии в FMCG компании после трех лет ее реализации, являются (где 1- совсем не влияет, а 5- сильно влияет)?  Использование переработанного пластика в упаковках и полный переход на более экологичные источники сырья в FMCG продуктах ",Уменьшение выбросов CO2 минимум на 50% на всей цепочке создания ценности продуктов,"Зеленое производство, сертифицированное по LEED, ISO и другим экологическим сертификатам соответствия","Простая и понятная коммуникация компании в упаковке и рекламных кампаниях об экологичности продукта, его использовании, переработке, утилизации для потребителей",Экомаркировки продуктов,Конкурентноспособная цена зеленого продукта,Наличие минимум 90% натуральных компонентов в составе продуктов,Полная локальность FMCG продукта,"Бюджеты на трансформацию и активации зеленого маркетинга, составляющие более 15% от основного годового маркетингового бюджета",Наличие подробной системы гайдлайнов и инструкций по реализации зеленых маркетинговых стратегий у маркетинговой команды,* Привлекаете ли Вы различных экспертов и других стэйкхолдеров для помощи в реализации зеленой маркетинговой стратегии вашей компании?,*Оцените как новая политическая и экономическая реальность в России повлияли на интеграцию устойчивых практик в вашей компании?,* Какие факторы новой политической и экономической реальности сильнее всего повлияли на зеленую маркетинговую стратегию в Вашей компании? Снижение покупательской способности,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,Уход зарубежных партнёров и глобальных офисов,Отсутствие доступа к мировым рынкам и рейтингам,Нестабильность и невозможность планирования,"Вариант ""другое""","Вариант ""затрудняюсь ответить""","* Ощущаете ли Вы, что покупательская способность населения России значительно снизилась в 2022–2023 годах?",* Как проходит реализация зеленой маркетинговой стратегии в вашей компании?,"* Есть ли у вас определенные метрики, KPI и показатели, по которым вы оцениваете успешность зеленой маркетинговой стратегии?",* Присутствуют ли в ваших FMCG продуктах большое количество различных эко элементов?,* Какую ориентировочно стратегию зеленого маркетинга реализует ваша FMCG компания?,* Оцените лично ваш уровень заинтересованности и вовлеченности в зеленые и устойчивые практики?
66874935,2023.03.20 18:14,00:01:29,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Splat,Junior,Очень низкий,Экологичность- популярный тренд,,,Имидж и репутация среди стэйкхолдеров,,,Скорее нет,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее нет,4,4,4,2,2,3,4,3,5,4,Скорее нет,Сильно замедлила реализацию,Снижение покупательской способности,,,Уход зарубежных партнёров и глобальных офисов,,,,,Да,"Довольно медленно и проблематично, процесс сложный","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Низкий
66872454,2023.03.20 17:04,00:01:15,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Henkel,Специалист,Высокий,,,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Скорее да,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,4,5,4,4,4,4,3,3,3,3,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,Уход зарубежных партнёров и глобальных офисов,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66872303,2023.03.20 17:00,00:01:23,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Colgate-Palmolive,Middle,Очень высокий,Экологичность- популярный тренд,Увеличение динамики продаж,Оптимизация производство,,,,Скорее да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Скорее да,5,5,5,3,5,4,5,2,4,5,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,Нестабильность и невозможность планирования,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Очень высокий
66872152,2023.03.20 16:57,00:02:11,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Splat,Стажер,Низкий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее нет,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее нет,4,3,3,3,3,3,3,3,3,3,Скорее нет,Затрудняюсь ответить,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,Отсутствие доступа к мировым рынкам и рейтингам,,,,Скорее да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Низкий
66871925,2023.03.20 16:53,00:01:30,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Cotton Club,Junior,Низкий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Затрудняюсь ответить,Затрудняюсь ответить,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее нет,4,4,4,2,3,4,2,4,3,2,Скорее нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,Нестабильность и невозможность планирования,,,Скорее да,"Довольно медленно и проблематично, процесс сложный","Нет, ничего не измеряем",Скорее нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Низкий
66871796,2023.03.20 16:50,00:01:39,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",P&G,Специалист,Высокий,,,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Скорее да,Да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Да,5,5,5,3,,5,3,3,4,4,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66871633,2023.03.20 16:46,00:01:32,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Synergetic,Middle,Низкий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее нет,Скорее нет,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее нет,4,3,3,2,4,3,4,2,4,5,Скорее нет,Сильно замедлила реализацию,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Скорее да,"Быстро, но некоторые трудности нас затормозили","Есть на уровне обычного перфоманс маркетинга, устойчивые метрики не используем",Скорее нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Средний
66871523,2023.03.20 16:43,00:01:31,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Splat,Senior,Очень низкий,Экологичность- популярный тренд,,,,,,Скорее нет,Скорее нет,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее нет,4,4,4,2,4,3,4,2,4,4,Нет,Сильно замедлила реализацию,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Быстро, но некоторые трудности нас затормозили","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Средний
66871354,2023.03.20 16:39,00:01:30,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Unilever,Директор,Очень высокий,Экологичность- популярный тренд,Увеличение динамики продаж,,Имидж и репутация среди стэйкхолдеров,,,Да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Да,5,5,5,3,5,4,5,3,4,5,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,,,,,,Да,"Быстро, но некоторые трудности нас затормозили","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Очень высокий
66871157,2023.03.20 16:34,00:01:43,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,DRC (R.O.C.S.),Senior,Средний,Экологичность- популярный тренд,,Оптимизация производство,,,,Скорее нет,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Затрудняюсь ответить,4,4,5,2,5,3,5,3,4,4,Скорее нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Что-то измеряем, но не все",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Высокий
66870830,2023.03.20 16:23,00:01:19,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Junior,Очень высокий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Да,5,5,5,3,4,5,4,3,3,3,Да,Сильно замедлила реализацию,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,Отсутствие доступа к мировым рынкам и рейтингам,,,,Да,"Быстро, но некоторые трудности нас затормозили","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66870782,2023.03.20 16:21,00:02:00,Прямая ссылка,Прямая ссылка,USERID: 31671599,WBRBIJGL4BYSBGSU,QF39GJBJRVBXSURH,,В российской компании,Splat,Junior,Низкий,Экологичность- популярный тренд,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее да,4,4,3,4,4,3,2,4,5,3,Нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Довольно медленно и проблематично, процесс сложный","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Средний
66856041,2023.03.20 09:19,00:01:24,Прямая ссылка,Прямая ссылка,USERID: 31671599,EQ7IAIRX7BMBOW9H,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",P&G,Специалист,Средний,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Скорее да,5,5,5,3,5,4,3,3,5,4,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,Нестабильность и невозможность планирования,,,Да,"Быстро, но некоторые трудности нас затормозили","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66855991,2023.03.20 09:17,00:01:30,Прямая ссылка,Прямая ссылка,USERID: 31671599,EQ7IAIRX7BMBOW9H,QF39GJBJRVBXSURH,,В российской компании,Cotton Club,Junior,Низкий,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Не повлияло,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее нет,4,4,3,3,5,4,2,3,2,3,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Что-то измеряем, но не все",Нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Низкий
66855914,2023.03.20 09:15,00:01:21,Прямая ссылка,Прямая ссылка,USERID: 31671599,EQ7IAIRX7BMBOW9H,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Colgate-Palmolive,Стажер,Высокий,,,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Скорее да,Да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,5,5,5,4,3,5,5,3,5,5,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Быстро, но некоторые трудности нас затормозили","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66855867,2023.03.20 09:14,00:01:54,Прямая ссылка,Прямая ссылка,USERID: 31671599,EQ7IAIRX7BMBOW9H,QF39GJBJRVBXSURH,,В российской компании,Synergetic,Junior,Низкий,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Скорее нет,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее нет,3,2,2,3,2,4,2,2,3,5,Нет,"Замедлила, многие устойчивые процессы приостановлены",,,Переключение акцента компании на другие направления,,,,,,Скорее да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Средний
66853370,2023.03.20 07:57,00:01:41,Прямая ссылка,Прямая ссылка,USERID: 31671599,EQ7IAIRX7BMBOW9H,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Unilever,Junior,Высокий,,Увеличение динамики продаж,,,,,Скорее да,Скорее да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Да,5,5,5,3,5,4,4,3,3,5,Да,Сильно замедлила реализацию,,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66853068,2023.03.20 07:34,00:01:38,Прямая ссылка,Прямая ссылка,USERID: 31671599,HMFF2BYP6XDFNVL4,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Henkel,Затрудняюсь ответить,Затрудняюсь ответить,,Увеличение динамики продаж,,,,,Затрудняюсь ответить,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Да,5,5,5,3,4,4,5,4,4,4,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Быстро, но некоторые трудности нас затормозили","Что-то измеряем, но не все",Да,Затрудняюсь ответить,Затрудняюсь ответить
66852997,2023.03.20 07:29,00:02:11,Прямая ссылка,Прямая ссылка,USERID: 31671599,HMFF2BYP6XDFNVL4,QF39GJBJRVBXSURH,,В российской компании,Splat,Стажер,Низкий,Экологичность- популярный тренд,,,,,,Не повлияли,Не повлияло,Начальный (только начали разрабатывать стратегию и что-то пробовать),Нет,3,3,3,4,3,3,3,3,3,5,Нет,Сильно ускорила,,Урезание маркетинговых бюджетов,,,,Нестабильность и невозможность планирования,,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить
66851518,2023.03.20 05:24,00:01:08,Прямая ссылка,Прямая ссылка,,C9YUW2FWNVOY0SS2,BUZ2VBN17QC4Q8BT,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Middle,Средний,Экологичность- популярный тренд,,,,,,Да,Нет,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее нет,1,3,3,3,3,3,3,3,3,3,Да,Сильно замедлила реализацию,,Урезание маркетинговых бюджетов,,,,,,,Скорее нет,"Довольно медленно и проблематично, процесс сложный","Что-то измеряем, но не все",Скорее да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Средний
66844293,2023.03.19 18:12,00:01:25,Прямая ссылка,Прямая ссылка,,RAOVPUVZAEINXOFH,BUZ2VBN17QC4Q8BT,,В российской компании,Synergetic,Директор,Очень высокий,,,,Имидж и репутация среди стэйкхолдеров,,,Скорее нет,Скорее нет,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Да,5,5,4,1,4,3,1,2,3,4,Скорее нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,,,,,,,,Да,"Довольно медленно и проблематично, процесс сложный","Есть на уровне обычного перфоманс маркетинга, устойчивые метрики не используем",Скорее нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Средний
66829778,2023.03.19 06:51,00:02:20,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Henkel,Junior,Высокий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее да,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Да,5,5,5,3,5,4,4,3,3,5,Да,Сильно замедлила реализацию,,Урезание маркетинговых бюджетов,,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Средний
66829741,2023.03.19 06:48,00:02:05,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,В российской компании,DRC (R.O.C.S.),Junior,Низкий,Экологичность- популярный тренд,,,,,,Скорее нет,Скорее да,Начальный (только начали разрабатывать стратегию и что-то пробовать),Нет,4,4,4,2,4,3,4,3,4,5,Нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,,,,,,Да,"Сложно сказать, не слишком быстро, и не слишком медленно","Нет, ничего не измеряем",Скорее нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Высокий
66829711,2023.03.19 06:46,00:02:07,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Colgate-Palmolive,Junior,Очень высокий,Экологичность- популярный тренд,,,,,,Скорее да,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Да,5,5,5,3,5,4,5,3,4,5,Да,Сильно замедлила реализацию,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66829680,2023.03.19 06:44,00:02:05,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,В российской компании,Cotton Club,Специалист,Низкий,,Увеличение динамики продаж,,,,,Скорее нет,Скорее да,Начальный (только начали разрабатывать стратегию и что-то пробовать),Нет,3,3,3,3,4,3,4,4,4,4,Нет,Сильно замедлила реализацию,Снижение покупательской способности,Урезание маркетинговых бюджетов,,Уход зарубежных партнёров и глобальных офисов,,,,,Да,"Сложно сказать, не слишком быстро, и не слишком медленно","Нет, ничего не измеряем",Скорее нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Высокий
66824542,2023.03.18 19:23,00:02:28,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Henkel,Специалист,Высокий,,,Оптимизация производство,,,,Скорее нет,Да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,5,5,5,3,5,4,5,3,4,5,Да,Сильно замедлила реализацию,,Урезание маркетинговых бюджетов,,Уход зарубежных партнёров и глобальных офисов,,,,,Скорее да,"Быстро, но некоторые трудности нас затормозили","Что-то измеряем, но не все",Скорее да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66824508,2023.03.18 19:20,00:02:42,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,В российской компании,Synergetic,Senior,Низкий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее нет,Скорее да,Начальный (только начали разрабатывать стратегию и что-то пробовать),Скорее нет,4,4,4,3,5,4,4,,4,2,Нет,Сильно замедлила реализацию,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Довольно медленно и проблематично, процесс сложный","Нет, ничего не измеряем",Нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Средний
66824445,2023.03.18 19:17,00:02:13,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Middle,Очень высокий,,,Оптимизация производство,,,,Да,Скорее да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Да,5,5,5,3,5,3,5,4,5,5,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,,Переключение акцента компании на другие направления,,,,,,Да,"Быстро, но некоторые трудности нас затормозили","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66824417,2023.03.18 19:14,00:02:18,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,В российской компании,DRC (R.O.C.S.),Специалист,Средний,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Скорее нет,Не повлияло,Начальный (только начали разрабатывать стратегию и что-то пробовать),Нет,4,4,,4,2,4,3,4,2,5,Нет,Немного ускорила,Снижение покупательской способности,,Переключение акцента компании на другие направления,,,,,,Скорее да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Нет, ничего не измеряем",Скорее нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Очень высокий
66824387,2023.03.18 19:12,00:02:39,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Unilever,Junior,Высокий,,Увеличение динамики продаж,,Имидж и репутация среди стэйкхолдеров,,,Скорее да,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Да,5,5,5,3,5,4,5,3,4,5,Да,Сильно замедлила реализацию,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Скорее да,"Быстро, но некоторые трудности нас затормозили","Да, у нас есть четкие индикаторы и метрики, все измеримо",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
66824324,2023.03.18 19:09,00:02:33,Прямая ссылка,Прямая ссылка,USERID: 31671599,EKT2HTDL8RDB7ANQ,QF39GJBJRVBXSURH,,В российской компании,Splat,Стажер,Низкий,,Увеличение динамики продаж,Оптимизация производство,,,,Скорее нет,Скорее да,Начальный (только начали разрабатывать стратегию и что-то пробовать),Нет,3,3,3,1,3,2,2,1,2,2,Нет,Сильно замедлила реализацию,Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Скорее да,"Очень тяжело и долго, трансформация проходила/проходит проблематично","Нет, ничего не измеряем",Нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Высокий
